mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,,,,Sex,Age
8.02E-18,0.288675135,0.499988719,-0.499988719,0,1.28E-16,-1.200000001,-0.249994359,0.249994359,-0.499988719,0.499988719,,,,Male,19
-1.20E-05,0.288675135,0.499976043,-0.5,-1.20E-05,6.73E-17,-1.200000001,-0.250005989,0.249982032,-0.5,0.499988022,,,,Male,23
1.87E-17,0.288675134,0.499979398,-0.499979398,0,0,-1.200000004,-0.249989699,0.249989699,-0.499979398,0.499979398,,,,Male,23
-1.69E-05,0.288675134,0.499966104,-0.5,-1.69E-05,2.70E-16,-1.200000003,-0.250008474,0.249974578,-0.5,0.499983052,,,,Male,23
-2.21E-05,0.288675134,0.499955826,-0.5,-2.21E-05,-1.70E-16,-1.200000005,-0.250011043,0.24996687,-0.5,0.499977913,,,,Male,23
-2.29E-05,0.288675134,0.499954145,-0.5,-2.29E-05,2.37E-16,-1.200000005,-0.250011464,0.249965609,-0.5,0.499977073,,,,Male,23
-1.13E-17,0.288675135,0.499987616,-0.499987616,0,3.66E-18,-1.200000001,-0.249993808,0.249993808,-0.499987616,0.499987616,,,,Female,18
-4.65E-18,0.288675135,0.499992555,-0.499992555,0,7.48E-17,-1.200000001,-0.249996278,0.249996278,-0.499992555,0.499992555,,,,Male,23
3.77E-18,0.288675134,0.499983401,-0.499983401,0,1.23E-17,-1.200000003,-0.249991701,0.249991701,-0.499983401,0.499983401,,,,Female,17
-1.76E-05,0.288675134,0.499964888,-0.5,-1.76E-05,-1.10E-16,-1.200000003,-0.250008778,0.249973666,-0.5,0.499982444,,,,Female,17
-9.97E-18,0.288675134,0.499986507,-0.499986507,0,8.52E-17,-1.200000002,-0.249993254,0.249993254,-0.499986507,0.499986507,,,,Female,17
-2.07E-05,0.288675134,0.499958661,-0.5,-2.07E-05,0,-1.200000004,-0.250010335,0.249968995,-0.5,0.49997933,,,,Female,17
-1.79E-05,0.288675134,0.499964281,-0.5,-1.79E-05,-2.76E-16,-1.200000003,-0.25000893,0.24997321,-0.5,0.49998214,,,,Female,17
-2.68E-17,0.288675135,0.49999092,-0.49999092,0,-6.70E-19,-1.200000001,-0.24999546,0.24999546,-0.49999092,0.49999092,,,,Female,26
-8.52E-06,0.288675135,0.499982953,-0.5,-8.52E-06,3.37E-16,-1.200000001,-0.250004262,0.249987215,-0.5,0.499991477,,,,Female,29
-1.50E-05,0.288675134,0.499970076,-0.5,-1.50E-05,1.52E-16,-1.200000002,-0.250007481,0.249977557,-0.5,0.499985038,,,,Female,18
1.43E-17,0.288675135,0.49999031,-0.49999031,0,-2.42E-17,-1.200000001,-0.249995155,0.249995155,-0.49999031,0.49999031,,,,Female,22
-1.62E-05,0.288675134,0.499967617,-0.5,-1.62E-05,-3.92E-16,-1.200000003,-0.250008096,0.249975712,-0.5,0.499983808,,,,Female,22
-1.02E-17,0.288675134,0.499987153,-0.499987153,0,-3.79E-18,-1.200000002,-0.249993577,0.249993577,-0.499987153,0.499987153,,,,Female,22
-1.40E-05,0.288675134,0.499972009,-0.5,-1.40E-05,4.49E-17,-1.200000002,-0.250006998,0.249979007,-0.5,0.499986005,,,,Female,22
-1.26E-05,0.288675135,0.499974745,-0.5,-1.26E-05,-3.02E-16,-1.200000002,-0.250006314,0.249981059,-0.5,0.499987372,,,,Female,22
-1.07E-05,0.288675135,0.499978536,-0.5,-1.07E-05,-2.77E-16,-1.200000001,-0.250005366,0.249983902,-0.5,0.499989268,,,,Female,20
1.20E-17,0.288675135,0.499988873,-0.499988873,0,-8.02E-17,-1.200000001,-0.249994436,0.249994436,-0.499988873,0.499988873,,,,Female,25
-8.16E-06,0.288675135,0.49998367,-0.5,-8.16E-06,-4.53E-16,-1.200000001,-0.250004082,0.249987753,-0.5,0.499991835,,,,Female,21
-1.40E-05,0.288675134,0.499972098,-0.5,-1.40E-05,1.25E-16,-1.200000002,-0.250006975,0.249979074,-0.5,0.499986049,,,,Female,21
-1.01E-05,0.288675135,0.499979777,-0.5,-1.01E-05,-1.33E-16,-1.200000001,-0.250005056,0.249984833,-0.5,0.499989888,,,,Female,21
-2.06E-18,0.288675134,0.499985525,-0.499985525,0,1.37E-17,-1.200000002,-0.249992763,0.249992763,-0.499985525,0.499985525,,,,Female,21
-1.17E-17,0.288675134,0.499984968,-0.499984968,0,-8.42E-17,-1.200000002,-0.249992484,0.249992484,-0.499984968,0.499984968,,,,Female,21
-8.79E-18,0.288675135,0.499988954,-0.499988954,0,5.41E-17,-1.200000001,-0.249994477,0.249994477,-0.499988954,0.499988954,,,,Male,22
1.39E-17,0.288675135,0.499991871,-0.499991871,0,-4.91E-18,-1.200000001,-0.249995936,0.249995936,-0.499991871,0.499991871,,,,Male,20
-8.23E-06,0.288675135,0.499983534,-0.5,-8.23E-06,-1.68E-16,-1.200000001,-0.250004117,0.24998765,-0.5,0.499991767,,,,Female,28
7.21E-18,0.288675135,0.499989437,-0.499989437,0,3.28E-17,-1.200000001,-0.249994718,0.249994718,-0.499989437,0.499989437,,,,Female,17
-2.02E-05,0.288675134,0.499959544,-0.5,-2.02E-05,1.36E-16,-1.200000004,-0.250010114,0.249969658,-0.5,0.499979772,,,,Female,17
-1.31E-05,0.288675134,0.499973755,-0.5,-1.31E-05,1.18E-16,-1.200000002,-0.250006561,0.249980316,-0.5,0.499986877,,,,Female,17
-1.95E-05,0.288675134,0.499960998,-0.5,-1.95E-05,4.30E-17,-1.200000004,-0.25000975,0.249970749,-0.5,0.499980499,,,,Female,17
2.11E-17,0.288675134,0.499981007,-0.499981007,0,-2.10E-17,-1.200000003,-0.249990503,0.249990503,-0.499981007,0.499981007,,,,Female,17
3.78E-18,0.288675134,0.49998524,-0.49998524,0,-2.99E-17,-1.200000002,-0.24999262,0.24999262,-0.49998524,0.49998524,,,,Male,16
-7.64E-06,0.288675135,0.499984711,-0.5,-7.64E-06,-4.80E-18,-1.200000001,-0.250003822,0.249988533,-0.5,0.499992355,,,,Female,57
-1.06E-05,0.288675135,0.499978811,-0.5,-1.06E-05,1.12E-16,-1.200000001,-0.250005297,0.249984108,-0.5,0.499989405,,,,Female,19
0,0.288675134,0.499982265,-0.499982265,0,-3.83E-17,-1.200000003,-0.249991133,0.249991133,-0.499982265,0.499982265,,,,Female,19
-1.23E-05,0.288675135,0.499975339,-0.5,-1.23E-05,-4.01E-16,-1.200000001,-0.250006165,0.249981504,-0.5,0.49998767,,,,Female,19
-1.63E-05,0.288675134,0.499967416,-0.5,-1.63E-05,-5.05E-17,-1.200000003,-0.250008146,0.249975562,-0.5,0.499983708,,,,Female,19
-1.82E-05,0.288675134,0.499963663,-0.5,-1.82E-05,-1.38E-16,-1.200000003,-0.250009084,0.249972747,-0.5,0.499981831,,,,Female,19
1.25E-18,0.288675135,0.499990251,-0.499990251,0,-1.07E-16,-1.200000001,-0.249995125,0.249995125,-0.499990251,0.499990251,,,,Male,21
