mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,Sex,Age_Class
8.02E-18,0.288675135,0.499988719,-0.499988719,0,1.28E-16,-1.200000001,-0.249994359,0.249994359,-0.499988719,0.499988719,78.08093,0.04197278,4599,172.265625,-9.518531,-486.9593,133.95116,0.34005362,2568.604393,2562.79562,5265.239426,Male,0
-1.20E-05,0.288675135,0.499976043,-0.5,-1.20E-05,6.73E-17,-1.200000001,-0.250005989,0.249982032,-0.5,0.499988022,221.15817,0.07278885,2585,198.7680288,-3.2468283,-456.38052,169.93933,0.4342007,1887.315209,2364.298458,4161.028904,Male,1
1.87E-17,0.288675134,0.499979398,-0.499979398,0,0,-1.200000004,-0.249989699,0.249989699,-0.499979398,0.499979398,173.44646,0.08453894,967,112.3471467,-1.8214173,-396.77106,167.47565,0.4006569,1649.168565,2314.817037,3773.469543,Male,1
-1.69E-05,0.288675134,0.499966104,-0.5,-1.69E-05,2.70E-16,-1.200000003,-0.250008474,0.249974578,-0.5,0.499983052,91.648994,0.0557363,1643,129.1992188,-2.5542126,-450.20163,160.87677,0.4058395,1925.639222,2366.865417,4330.587032,Male,1
-2.21E-05,0.288675134,0.499955826,-0.5,-2.21E-05,-1.70E-16,-1.200000005,-0.250011043,0.24996687,-0.5,0.499977913,171.18176,0.086958036,1425,161.4990234,-1.6107253,-356.73102,190.93646,0.42408764,1770.797598,2234.601511,3754.194336,Male,1
-2.29E-05,0.288675134,0.499954145,-0.5,-2.29E-05,2.37E-16,-1.200000005,-0.250011464,0.249965609,-0.5,0.499977073,60.061737,0.052479662,734,172.265625,-4.289992,-426.0736,167.40738,0.40612498,1486.277019,2273.233356,3505.905932,Male,1
-1.13E-17,0.288675135,0.499987616,-0.499987616,0,3.66E-18,-1.200000001,-0.249993808,0.249993808,-0.499987616,0.499987616,37.277863,0.0303857,2773,123.046875,-9.601393,-501.07272,155.33748,0.35709953,2368.631955,2727.322586,5380.029915,Female,0
-4.65E-18,0.288675135,0.499992555,-0.499992555,0,7.48E-17,-1.200000001,-0.249996278,0.249996278,-0.499992555,0.499992555,409.22644,0.07805789,2899,92.28515625,-9.015899,-530.0435,181.2949,0.39487046,1591.342032,2058.337552,3335.444225,Male,1
3.77E-18,0.288675134,0.499983401,-0.499983401,0,1.23E-17,-1.200000003,-0.249991701,0.249991701,-0.499983401,0.499983401,35.707405,0.034429446,1861,143.5546875,-9.045059,-512.82404,165.91156,0.33767736,2200.035556,2591.269842,4854.642396,Female,0
-1.76E-05,0.288675134,0.499964888,-0.5,-1.76E-05,-1.10E-16,-1.200000003,-0.250008778,0.249973666,-0.5,0.499982444,11.180482,0.019813458,2115,151.9990809,-11.453751,-561.90173,161.69609,0.3239059,2250.46532,2545.293854,4864.389038,Female,0
-9.97E-18,0.288675134,0.499986507,-0.499986507,0,8.52E-17,-1.200000002,-0.249993254,0.249993254,-0.499986507,0.499986507,23.522705,0.02519466,3807,112.3471467,-9.052459,-531.37476,150.19812,0.34751803,2740.817797,2787.577987,5869.420216,Female,0
-2.07E-05,0.288675134,0.499958661,-0.5,-2.07E-05,0,-1.200000004,-0.250010335,0.249968995,-0.5,0.49997933,26.712662,0.03323079,2267,172.265625,-8.741227,-459.7254,163.30103,0.3203441,2429.779301,2513.430931,5146.211243,Female,0
-1.79E-05,0.288675134,0.499964281,-0.5,-1.79E-05,-2.76E-16,-1.200000003,-0.25000893,0.24997321,-0.5,0.49998214,52.326035,0.043232556,1680,129.1992188,-8.105257,-472.95828,175.0274,0.32795805,2232.95929,2694.74747,4973.19114,Female,0
-2.68E-17,0.288675135,0.49999092,-0.49999092,0,-6.70E-19,-1.200000001,-0.24999546,0.24999546,-0.49999092,0.49999092,88.43513,0.04007437,4411,151.9990809,-11.937451,-488.55588,132.90735,0.32016557,2516.720829,2698.723842,5423.276774,Female,1
