mean,sd,maxv,median,skew,kurtosis,q1,q3,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonnetz,stft,mel,Sex
5512.251241,3182.643356,11024.50248,5512.251241,-2.62E-16,-1.200000005,2756.12562,8268.376861,5512.251241,78.08093,0.04197278,0.103765709,172.265625,9.518531,486.9593,133.95116,0.34005362,2568.604393,2562.79562,5265.239426,0.008941676,0.27229062,0.36935666,Male
5512.420251,3182.689401,11024.8405,5512.420251,3.37E-16,-1.200000002,2756.210125,8268.630376,5512.420251,49.700237,0.026814196,0.068673688,117.4538352,9.871352,479.02866,135.26971,0.31878337,2157.178117,2474.711204,4650.142715,0.006630321,0.16594642,0.15681186,Male
5512.367936,3182.719603,11024.73587,5512.367936,-9.29E-17,-1.200000006,2756.183968,8268.551903,5512.367936,221.15817,0.07278885,0.061928034,198.7680288,3.2468283,456.38052,169.93933,0.4342007,1887.315209,2364.298458,4161.028904,0.004788399,0.40941432,1.1559639,Male
5512.045698,3182.643348,11024.0914,5512.045698,-3.99E-16,-1.200000016,2756.022849,8268.068547,5512.045698,173.44646,0.08453894,0.03984507,112.3471467,1.8214173,396.77106,167.47565,0.4006569,1649.168565,2314.817037,3773.469543,-0.006151612,0.4735007,1.6437888,Male
5512.313142,3182.751234,11024.62628,5512.313142,-1.18E-15,-1.200000011,2756.156571,8268.469713,5512.313142,91.648994,0.0557363,0.05569114,129.1992188,2.5542126,450.20163,160.87677,0.4058395,1925.639222,2366.865417,4330.587032,-0.002957499,0.38160756,0.686543,Male
5512.256483,3182.783941,11024.51297,5512.256483,0,-1.200000019,2756.128241,8268.384724,5512.256483,171.18176,0.086958036,0.062947257,161.4990234,1.6107253,356.73102,190.93646,0.42408764,1770.797598,2234.601511,3754.194336,-0.004110334,0.5820935,1.6928699,Male
5512.247214,3182.789291,11024.49443,5512.247214,3.56E-16,-1.20000002,2756.123607,8268.370821,5512.247214,60.061737,0.052479662,0.033657373,172.265625,4.289992,426.0736,167.40738,0.40612498,1486.277019,2273.233356,3505.905932,0.006658368,0.252329,0.626801,Female
5512.239325,3182.643355,11024.47865,5512.239325,-2.75E-16,-1.200000005,2756.119662,8268.358987,5512.239325,382.3631,0.09508094,0.04083225,161.4990234,4.2136364,444.53848,179.55554,0.34912446,1450.539433,2097.253736,3063.941312,0.010774268,0.46501258,2.1208062,Male
5512.30921,3182.753504,11024.61842,5512.30921,-1.34E-16,-1.200000011,2756.154605,8268.463815,5512.30921,158.80203,0.074135154,0.036581989,117.4538352,1.851117,420.17206,194.46829,0.40784913,1475.280255,2216.458659,3474.401213,-0.000944624,0.40553015,1.2447282,Female
5512.291169,3182.763918,11024.58234,5512.291169,-7.34E-16,-1.200000014,2756.145585,8268.436754,5512.291169,223.86082,0.0920881,0.032653989,99.38401442,2.0977027,461.43784,225.43079,0.43827567,1105.960281,1661.713855,2044.826097,-0.004740096,0.53935647,1.9252985,Female
5512.086955,3182.64335,11024.17391,5512.086955,-4.36E-16,-1.200000013,2756.043477,8268.130432,5512.086955,127.291405,0.06905591,0.036863597,86.1328125,3.185535,462.41153,192.08243,0.4445458,1543.481125,2352.150976,3735.198168,0.00136028,0.3364265,1.0794456,Female
5512.304805,3182.756047,11024.60961,5512.304805,1.10E-15,-1.200000012,2756.152403,8268.457208,5512.304805,52.78628,0.043232746,0.034487643,103.359375,4.5532913,496.22287,161.15434,0.42944923,1497.858053,2231.057131,3199.21875,-0.001088055,0.23107396,0.42532167,Female
5512.226928,3182.643355,11024.45386,5512.226928,-3.84E-16,-1.200000006,2756.113464,8268.340392,5512.226928,37.277863,0.0303857,0.068681115,123.046875,9.601393,501.07272,155.33748,0.35709953,2368.631955,2727.322586,5380.029915,-0.002086652,0.14808449,0.20729905,Female
5512.376179,3182.643358,11024.75236,5512.376179,-3.05E-16,-1.200000001,2756.18809,8268.564269,5512.376179,81.65293,0.03028244,0.059635449,135.9991776,13.174914,487.44724,148.43144,0.39564013,2771.910644,2892.869137,6252.054149,0.015753326,0.1203321,0.1986772,Female
5512.335845,3182.643357,11024.67169,5512.335845,8.95E-16,-1.200000002,2756.167922,8268.503767,5512.335845,409.22644,0.07805789,0.043163647,92.28515625,9.015899,530.0435,181.2949,0.39487046,1591.342032,2058.337552,3335.444225,-0.004405902,0.34722108,1.3919796,Female
5512.376736,3182.714522,11024.75347,5512.376736,-2.60E-16,-1.200000005,2756.188368,8268.565104,5512.376736,308.65982,0.08307674,0.028017531,161.4990234,6.6991463,539.56616,214.60239,0.3380806,973.206205,1549.304961,1803.650457,-0.007352981,0.34930977,1.6091672,Female
5512.133988,3182.643352,11024.26798,5512.133988,-1.29E-16,-1.200000011,2756.066994,8268.200983,5512.133988,35.707405,0.034429446,0.061780035,143.5546875,9.045059,512.82404,165.91156,0.33767736,2200.035556,2591.269842,4854.642396,0.007977522,0.18903425,0.2707388,Female
5512.306436,3182.755105,11024.61287,5512.306436,-9.53E-16,-1.200000012,2756.153218,8268.459654,5512.306436,11.180482,0.019813458,0.07426264,151.9990809,11.453751,561.90173,161.69609,0.3239059,2250.46532,2545.293854,4864.389038,-0.02608892,0.12106741,0.08655857,Female
5512.202477,3182.643354,11024.40495,5512.202477,1.05E-16,-1.200000007,2756.101239,8268.303716,5512.202477,23.522705,0.02519466,0.102733627,112.3471467,9.052459,531.37476,150.19812,0.34751803,2740.817797,2787.577987,5869.420216,-2.20E-05,0.16478972,0.13640806,Female
5512.272107,3182.774922,11024.54421,5512.272107,-1.60E-16,-1.200000016,2756.136054,8268.408161,5512.272107,26.712662,0.03323079,0.093716412,172.265625,8.741227,459.7254,163.30103,0.3203441,2429.779301,2513.430931,5146.211243,-0.010479631,0.21824329,0.24790083,Female
5512.30309,3182.757037,11024.60618,5512.30309,-5.54E-16,-1.200000012,2756.151545,8268.454635,5512.30309,52.326035,0.043232556,0.060008573,129.1992188,8.105257,472.95828,175.0274,0.32795805,2232.95929,2694.74747,4973.19114,-0.001996278,0.22474062,0.41244632,Female
5512.397775,3182.702377,11024.79555,5512.397775,-8.63E-16,-1.200000003,2756.198887,8268.596662,5512.397775,31.51459,0.024174456,0.054240997,129.1992188,11.85183,532.4449,157.2183,0.26405916,2395.503246,2822.888764,5567.247153,-0.006052553,0.13073169,0.12760606,Female
5512.315605,3182.749813,11024.63121,5512.315605,0,-1.200000011,2756.157802,8268.473407,5512.315605,31.228659,0.03231991,0.06178084,123.046875,11.035372,492.0497,159.11197,0.30328298,2267.209049,2722.585837,5290.051063,-0.007816425,0.1266887,0.22254895,Female
5512.335236,3182.73848,11024.67047,5512.335236,4.92E-16,-1.200000009,2756.167618,8268.502854,5512.335236,54.89959,0.040507417,0.039781218,112.3471467,8.7347,459.03546,178.91,0.31933898,1700.27649,2380.670658,3845.634322,0.009176058,0.20218839,0.34673294,Female
5512.302582,3182.75733,11024.60516,5512.302582,2.78E-16,-1.200000012,2756.151291,8268.453873,5512.302582,64.73805,0.048149414,0.054540897,172.265625,8.06951,483.76633,154.6925,0.33724934,1987.580627,2530.745954,4544.680398,0.009640634,0.24440806,0.53316975,Female
5512.13669,3182.643352,11024.27338,5512.13669,1.28E-16,-1.20000001,2756.068345,8268.205035,5512.13669,27.724361,0.030225458,0.053942729,80.74951172,9.309104,502.38684,158.56332,0.30563152,2011.331078,2577.026869,4526.099854,-0.00028142,0.15761688,0.21357258,Female
5512.299786,3182.643357,11024.59957,5512.299786,-4.22E-16,-1.200000003,2756.149893,8268.449679,5512.299786,88.43513,0.04007437,0.080102421,151.9990809,11.937451,488.55588,132.90735,0.32016557,2516.720829,2698.723842,5423.276774,-0.020338864,0.16951883,0.3727855,Female
5512.444696,3182.675288,11024.88939,5512.444696,-4.77E-16,-1.200000001,2756.222348,8268.667045,5512.444696,428.39117,0.065557234,0.071309617,135.9991776,11.892332,469.71436,173.12932,0.31922424,2257.785914,2465.988406,5237.316707,-0.017484101,0.24402829,0.9944066,Female
5512.406028,3182.697612,11024.81206,5512.406028,2.64E-16,-1.200000003,2756.203014,8268.609042,5512.406028,32.518776,0.023544457,0.057089769,129.1992188,10.557332,375.5253,231.36377,0.40096855,1144.57022,1317.27904,2294.690472,0.016117466,0.1578161,0.1287067,Male
5512.299596,3182.643357,11024.59919,5512.299596,-2.82E-16,-1.200000003,2756.149798,8268.449395,5512.299596,58.27831,0.032547146,0.063182768,129.1992188,9.416388,351.7011,220.0542,0.35527718,1191.76256,1242.779772,2287.703451,0.004306159,0.23982118,0.24163492,Male
5512.335039,3182.738593,11024.67008,5512.335039,4.64E-16,-1.200000009,2756.16752,8268.502559,5512.335039,34.060654,0.031925395,0.079926985,151.9990809,5.844262,489.72095,139.03418,0.33172268,2187.218136,2577.130947,4788.52761,0.025702789,0.22399811,0.22731666,Female
5512.350905,3182.643358,11024.70181,5512.350905,-1.05E-16,-1.200000002,2756.175452,8268.526357,5512.350905,267.80014,0.06017902,0.03187418,112.3471467,9.071999,495.35568,189.40137,0.39254677,1354.546955,1938.251232,2797.088834,0.003506182,0.20274812,0.77790195,Female
5512.286321,3182.643357,11024.57264,5512.286321,7.52E-17,-1.200000004,2756.14316,8268.429481,5512.286321,346.36646,0.0819324,0.099133671,95.703125,7.5201135,444.3407,186.34583,0.31370327,2316.142563,2509.073713,4810.538898,0.007937248,0.39862058,1.5039768,Female
5512.321481,3182.74642,11024.64296,5512.321481,8.79E-16,-1.20000001,2756.16074,8268.482221,5512.321481,82.5824,0.051713638,0.077623057,151.9990809,9.941492,435.05304,174.46205,0.2527197,2237.800729,2501.651483,4679.588643,-0.016234997,0.2893435,0.6026563,Female
5512.216727,3182.643355,11024.43345,5512.216727,9.96E-17,-1.200000006,2756.108363,8268.32509,5512.216727,166.83698,0.06547178,0.084401737,123.046875,8.073428,466.23364,164.9509,0.33938363,2650.929243,2870.547173,5796.206942,-0.003620346,0.34226927,0.9670178,Female
5512.345696,3182.732441,11024.69139,5512.345696,3.26E-16,-1.200000008,2756.172848,8268.518544,5512.345696,546.44617,0.12367488,0.100291105,198.7680288,6.187159,424.05344,153.68384,0.36033493,2587.246054,2624.500521,5363.613281,-0.009982822,0.67845696,3.4845011,Female
5512.360778,3182.723735,11024.72156,5512.360778,0,-1.200000006,2756.180389,8268.541167,5512.360778,157.92012,0.063152865,0.083569047,123.046875,8.377271,445.0582,170.87097,0.32389107,2386.773767,2616.204268,5050.2263,-0.000185129,0.3012125,0.8817453,Male
5512.313729,3182.643357,11024.62746,5512.313729,3.93E-16,-1.200000003,2756.156865,8268.470594,5512.313729,253.50378,0.06544428,0.060298366,129.1992188,10.615094,476.4716,181.17203,0.24368948,2036.697389,2519.629961,4553.529937,0.011495733,0.3132926,0.94698054,Female
5512.356956,3182.725941,11024.71391,5512.356956,1.01E-16,-1.200000006,2756.178478,8268.535433,5512.356956,544.1899,0.11883125,0.083320359,103.359375,5.8116903,450.1521,188.30222,0.25722787,2170.580474,2416.775575,4201.524594,-0.012937331,0.62845796,3.1261997,Female
5512.360114,3182.724118,11024.72023,5512.360114,1.97E-16,-1.200000006,2756.180057,8268.540171,5512.360114,437.6351,0.10538138,0.063971782,103.359375,8.272745,458.40344,192.98433,0.28321612,1816.305127,2283.413904,3442.795632,-0.027598058,0.5030875,2.4592023,Female
5512.20185,3182.643354,11024.4037,5512.20185,2.10E-16,-1.200000007,2756.100925,8268.302775,5512.20185,200.3187,0.0736009,0.066551286,95.703125,8.838341,478.2381,198.07912,0.28659943,2092.401382,2501.441111,4526.83975,0.00846407,0.40653098,1.2167821,Female
5512.220419,3182.643355,11024.44084,5512.220419,4.92E-16,-1.200000006,2756.110209,8268.330628,5512.220419,216.64583,0.0741198,0.075440598,129.1992188,9.483719,492.9652,155.3147,0.26894554,2187.344739,2471.699905,4590.161133,0.020914671,0.38455147,1.2283088,Female
5512.381678,3182.711669,11024.76336,5512.381678,-1.66E-16,-1.200000004,2756.190839,8268.572517,5512.381678,9.969617,0.014628267,0.094762825,112.3471467,10.47412,494.6968,106.971565,0.37896344,3183.068638,2931.982373,6339.516977,0.062263443,0.10895911,0.044417035,Female
5512.402944,3182.699392,11024.80589,5512.402944,-5.46E-16,-1.200000003,2756.201472,8268.604416,5512.402944,12.1326275,0.014615407,0.114211768,151.9990809,9.20215,436.26834,107.24651,0.3759059,3070.769409,2840.483435,6141.715715,0.023231337,0.1533542,0.037616357,Male
5512.25464,3182.643356,11024.50928,5512.25464,2.59E-16,-1.200000005,2756.12732,8268.38196,5512.25464,110.69485,0.049633093,0.057349505,103.359375,12.561712,539.7472,186.67212,0.33391166,1830.042617,2188.278665,3594.943792,0.00995109,0.21302602,0.5761884,Male
5512.290423,3182.643357,11024.58085,5512.290423,4.05E-16,-1.200000003,2756.145212,8268.435635,5512.290423,182.55649,0.05890835,0.02895052,135.9991776,13.393191,553.60126,183.1005,0.31779388,1181.589051,1791.883335,2046.386008,-0.020601907,0.2008497,0.81714517,Female
5512.409981,3182.69533,11024.81996,5512.409981,2.53E-16,-1.200000003,2756.20499,8268.614971,5512.409981,149.52393,0.049413413,0.081664979,129.1992188,8.70037,480.0177,162.37115,0.38051045,2154.673775,2423.305349,4422.112427,-0.011266789,0.23851316,0.5488011,Female
5512.346187,3182.732158,11024.69237,5512.346187,-2.70E-16,-1.200000007,2756.173094,8268.519281,5512.346187,63.351177,0.042042967,0.093470982,161.4990234,8.914813,497.40326,155.69019,0.34819672,2151.424421,2269.615471,4082.210057,0.012008719,0.28078622,0.3715434,Female
5512.388517,3182.707721,11024.77703,5512.388517,-6.08E-16,-1.200000004,2756.194258,8268.582775,5512.388517,48.811005,0.03141843,0.140996602,103.359375,8.620626,470.3783,137.8346,0.32969898,2904.235898,2528.655883,5442.2396,0.007712953,0.21528342,0.20043008,Female
5512.180823,3182.643354,11024.36165,5512.180823,8.42E-16,-1.200000008,2756.090412,8268.271235,5512.180823,106.620834,0.055557285,0.129548678,198.7680288,7.3271427,483.56815,165.56535,0.33039448,2473.352436,2212.971344,4676.82172,0.003854843,0.36959344,0.6748843,Female
5512.168541,3182.643353,11024.33708,5512.168541,-1.46E-16,-1.200000009,2756.08427,8268.252811,5512.168541,112.26695,0.05809587,0.098938761,117.4538352,8.739221,447.80298,172.75528,0.30131316,2438.407846,2374.290694,4709.808444,0.011432541,0.33238682,0.76542574,Female
5512.342976,3182.643358,11024.68595,5512.342976,-6.63E-16,-1.200000002,2756.171488,8268.514463,5512.342976,43.928783,0.025013002,0.071710367,135.9991776,10.158706,514.99786,146.52518,0.29738307,2317.990986,2732.61418,5397.344175,0.00576949,0.13325532,0.14010213,Male
5512.375517,3182.715226,11024.75103,5512.375517,5.25E-16,-1.200000005,2756.187758,8268.563275,5512.375517,97.09491,0.04682468,0.108594526,135.9991776,7.347294,456.1951,205.88516,0.3362076,2195.166692,2217.141297,3995.64672,-0.010316923,0.2509049,0.49239126,Male
5512.365065,3182.643358,11024.73013,5512.365065,3.80E-16,-1.200000001,2756.182532,8268.547597,5512.365065,164.827,0.04491429,0.051550051,135.9991776,9.47165,477.99203,203.33052,0.33189315,1771.532356,2315.03196,3788.161469,0.01922134,0.17757565,0.4696501,Female
5512.229076,3182.643355,11024.45815,5512.229076,-9.53E-17,-1.200000006,2756.114538,8268.343613,5512.229076,99.002396,0.049323324,0.047671704,129.1992188,9.220566,500.1622,169.83185,0.32457677,1911.4966,2448.183494,4234.100647,0.01597729,0.23281077,0.55519,Male
5512.356948,3182.725946,11024.7139,5512.356948,-1.01E-15,-1.200000006,2756.178474,8268.535422,5512.356948,167.99707,0.06602639,0.060125597,151.9990809,8.410648,488.15002,165.96725,0.3046877,1925.508918,2305.373873,3973.017642,0.004840098,0.3463272,0.97908443,Female
5512.25644,3182.643356,11024.51288,5512.25644,0,-1.200000005,2756.12822,8268.38466,5512.25644,25.198147,0.023593558,0.026222193,107.6660156,9.989544,552.7411,201.48752,0.4112221,1130.27388,1762.364326,2084.365673,0.009824008,0.12725571,0.12742278,Female
